Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1800.002978651498
FDW14,OUT017,1510.9242362024563
NCN55,OUT010,2009.5623900522721
FDQ58,OUT017,2463.8185319976365
FDY38,OUT027,4759.86130539823
FDH56,OUT046,1930.692395716897
FDL48,OUT018,970.9348626149363
FDC48,OUT027,2604.3964013990035
FDN33,OUT045,1629.4664469783265
FDA36,OUT017,2912.139380994762
FDT44,OUT017,1947.5425634776495
FDQ56,OUT045,1483.7787763640633
NCC54,OUT019,1990.7871321381278
FDU11,OUT049,2003.3138887402304
DRL59,OUT013,1014.3128947318061
FDM24,OUT049,2416.0093120624597
FDI57,OUT045,3079.3801808410017
DRC12,OUT018,2970.824900519103
NCM42,OUT027,3007.314393152692
FDA46,OUT010,1333.526454475102
FDA31,OUT013,2744.8985811485218
NCJ31,OUT035,3658.3538589327745
FDG52,OUT046,953.948371910256
NCL19,OUT019,610.6804320102024
FDS10,OUT035,2825.445591528508
FDX22,OUT010,1555.5760345072265
NCF19,OUT035,952.0232817568645
NCE06,OUT046,2553.2536048109705
DRC27,OUT046,3725.3464333789398
FDE21,OUT035,1922.2490178511448
NCR42,OUT019,-940.8887568968387
FDX51,OUT018,3009.1916095410797
NCR06,OUT018,862.6879439167062
FDU31,OUT027,4527.961117856062
FDU59,OUT017,2593.5819919570913
FDR03,OUT027,4349.907165423081
FDS49,OUT027,2594.6189698304634
FDD48,OUT010,212.02071716014166
NCF18,OUT017,2986.1315156916353
NCD43,OUT027,2918.7321015037987
NCD54,OUT018,2283.531127787597
FDY19,OUT010,249.01678450857867
NCY54,OUT017,2729.9003275996583
NCL19,OUT018,2304.194887884381
FDP23,OUT010,1664.267637773053
FDC26,OUT013,1860.8853619821475
FDR14,OUT010,-606.8152538012043
NCS41,OUT035,2861.0344292326527
FDF41,OUT035,3774.118198390812
FDU34,OUT046,2039.8286835503195
DRH11,OUT046,1085.1190615140026
FDM03,OUT013,1783.5609074875902
FDS31,OUT017,2829.6672804613845
FDJ20,OUT017,2003.7219853370752
FDV44,OUT027,4119.414207525204
FDG02,OUT049,2939.248252862403
FDA09,OUT013,2810.4473379796436
FDT04,OUT013,822.2598217974097
FDL58,OUT019,2312.1589804643827
FDE52,OUT045,1550.7713508102288
FDW12,OUT035,2320.4274601628576
FDL51,OUT017,3307.503364017891
NCY42,OUT027,3452.7841948904825
FDR07,OUT017,1644.4647005271906
FDN40,OUT045,2430.9709776405725
FDB35,OUT027,2735.56709100275
FDA22,OUT017,2615.543217785912
NCL06,OUT046,3976.947835941197
FDI35,OUT013,2832.926424317565
NCW42,OUT045,3401.196713734853
NCX06,OUT049,2816.5209411244086
FDC37,OUT027,2986.2425364590636
FDZ14,OUT018,1987.9706855969462
DRG49,OUT049,3733.3451266770953
NCG06,OUT045,3888.3655442923027
DRC36,OUT045,2726.568007801974
FDV21,OUT019,364.7445359958649
FDB53,OUT046,2373.8290107044504
DRP47,OUT019,2159.9164341670075
FDA14,OUT013,2325.09383366333
DRC24,OUT035,2430.9709776405725
FDW21,OUT018,1682.0417753871518
NCH29,OUT046,1652.3902178838434
FDU58,OUT013,2937.4329266212662
FDY27,OUT017,2781.8580605262077
FDV56,OUT035,1815.4459167679586
FDT59,OUT046,3526.738484761431
FDB23,OUT046,3455.5242213823904
FDR49,OUT045,932.8033392751242
FDB03,OUT010,2016.598538273732
FDN39,OUT045,2615.061945247564
FDX02,OUT027,4603.805166764823
FDQ16,OUT027,2980.5770299111437
FDU35,OUT018,1665.6362921939956
NCT29,OUT013,2000.9441140192428
FDZ27,OUT046,959.5041145459209
FDN57,OUT017,2258.1012592171646
FDA03,OUT018,2314.9348645296172
FDZ36,OUT045,2895.6973098308545
NCU05,OUT013,1424.2670347069543
FDT39,OUT018,2392.7040035917707
FDK60,OUT017,1650.0570311336073
FDZ25,OUT017,2664.2783948270335
FDG12,OUT046,2000.4994294516466
DRB01,OUT019,1303.1218507805286
NCC43,OUT027,4990.317675325356
FDX13,OUT019,2106.0336110870658
FDM22,OUT049,1028.866463713074
FDJ03,OUT027,2151.4091789014064
FDU14,OUT018,3780.772809047101
FDB33,OUT010,845.395078840955
FDP27,OUT046,2965.059658998007
FDO38,OUT010,-313.14331379319333
FDE28,OUT027,4729.4201137329055
FDO27,OUT035,1624.282212968755
DRL23,OUT027,2970.763010371851
FDS28,OUT046,1069.6029474560391
FDX24,OUT013,1584.4716863317337
FDZ02,OUT035,1638.3179214409233
FDL46,OUT045,1927.8413484575615
FDS60,OUT027,3979.3554554881093
NCO06,OUT017,747.3051420238401
FDO16,OUT035,1473.002211748075
FDC60,OUT049,1511.3689207700525
FDA48,OUT018,3364.745065927188
FDZ36,OUT027,4087.121101647991
FDK27,OUT045,1980.3169418932105
FDW23,OUT018,812.1008526636971
FDM14,OUT018,1815.5822397118864
FDM14,OUT013,1805.1140367195665
FDW60,OUT018,2768.4399475363152
FDE21,OUT013,1920.841788206853
NCM42,OUT035,1821.519519912723
FDY59,OUT010,-70.42997366428472
DRI49,OUT049,1426.6002214571904
FDT28,OUT019,736.2587910075329
FDQ22,OUT018,822.8774172796853
FDR60,OUT049,1359.126374472677
FDC50,OUT019,-59.68999701904818
FDV24,OUT013,2418.3790867834477
DRF48,OUT010,1258.6083626722836
FDQ47,OUT046,797.0028641416568
DRN36,OUT049,1652.4268058545952
NCY06,OUT035,2091.786416476869
FDE52,OUT035,1542.3279729444766
NCB54,OUT045,2068.3813730330044
NCF31,OUT035,2429.6003359670312
FDJ08,OUT027,4134.412461074068
NCC07,OUT017,1775.1541175925897
NCD19,OUT027,2220.25366755946
FDL46,OUT049,1955.9859413434017
FDM20,OUT045,3746.936150581668
NCI06,OUT010,1147.102300117873
DRM11,OUT035,3931.4718027562567
NCH07,OUT018,2495.7666882804288
FDS23,OUT013,2104.488071246249
FDO49,OUT018,956.8259782012645
FDS35,OUT049,1200.8102250305374
DRK39,OUT045,1443.450389217943
DRI39,OUT049,1102.450501813103
FDV04,OUT017,2505.9622453848933
NCN14,OUT035,2851.1838217226095
FDH08,OUT013,3534.2559055212396
FDS20,OUT046,2857.775285376473
FDV40,OUT049,1343.2387517886204
FDZ48,OUT010,163.28554011902088
FDS24,OUT027,2695.75656436573
FDK44,OUT049,2735.9739307444224
FDS48,OUT045,2399.6038288693035
FDK26,OUT010,1237.9811905462514
FDD23,OUT045,2936.0256969769744
NCH54,OUT017,2554.697422426015
NCP14,OUT010,106.66143369199904
FDM60,OUT010,-837.8260722081807
FDV24,OUT017,2411.3429385619875
FDH08,OUT018,3485.620463453294
FDS12,OUT027,3259.841752820893
FDR39,OUT027,4005.574958220558
FDP12,OUT027,1977.1688188044582
DRF60,OUT027,4791.191866198747
FDC09,OUT035,1727.8261701957608
FDF50,OUT018,3060.2965613031884
FDG28,OUT035,3714.569868762952
NCE19,OUT017,1063.0846597436785
NCM53,OUT010,130.54774967421145
NCN18,OUT049,1843.5173337122956
FDF32,OUT035,3084.527826879821
FDF11,OUT013,3651.7989832496623
DRI59,OUT049,3451.3391204202653
NCG54,OUT035,2667.537538683214
FDM44,OUT046,1709.0509122816168
FDT57,OUT018,3590.090377786244
FDV24,OUT046,2409.9357089176956
FDI50,OUT019,1813.6957247818439
FDS09,OUT035,1002.6469609806253
NCC31,OUT027,3639.244937218462
FDQ07,OUT019,1690.0058679671536
FDC22,OUT017,2982.3545113263563
FDZ56,OUT046,2665.2409399037288
FDZ40,OUT019,-633.5526170427526
FDS46,OUT027,3129.5604323523394
DRD24,OUT045,2260.9157185057484
FDV45,OUT017,2943.9878023043784
